--------------------epoch: 0--------------------
Training start ...
*[Iter]: 114 [Acc@1]: 14.062%  [Acc@5]: 37.500%  [Loss]: 3.71953.
*[Iter]: 115 [Acc@1]: 6.250%  [Acc@5]: 28.906%  [Loss]: 3.80240.
*[Iter]: 116 [Acc@1]: 8.594%  [Acc@5]: 30.469%  [Loss]: 3.81627.
*[Iter]: 117 [Acc@1]: 8.594%  [Acc@5]: 30.469%  [Loss]: 3.82431.
*[Iter]: 118 [Acc@1]: 7.031%  [Acc@5]: 28.906%  [Loss]: 3.93734.
*[Iter]: 119 [Acc@1]: 7.812%  [Acc@5]: 30.469%  [Loss]: 3.90803.
*[Iter]: 120 [Acc@1]: 6.250%  [Acc@5]: 32.031%  [Loss]: 3.71972.
*[Iter]: 121 [Acc@1]: 7.812%  [Acc@5]: 31.250%  [Loss]: 3.77213.
*[Iter]: 122 [Acc@1]: 8.594%  [Acc@5]: 33.594%  [Loss]: 3.73085.
*[Iter]: 123 [Acc@1]: 11.719%  [Acc@5]: 29.688%  [Loss]: 3.85976.
*[Iter]: 124 [Acc@1]: 11.719%  [Acc@5]: 33.594%  [Loss]: 3.63980.
*[Iter]: 125 [Acc@1]: 10.938%  [Acc@5]: 33.594%  [Loss]: 3.86225.
*[Iter]: 126 [Acc@1]: 12.500%  [Acc@5]: 31.250%  [Loss]: 3.79288.
*[Iter]: 127 [Acc@1]: 10.156%  [Acc@5]: 32.031%  [Loss]: 3.95583.
*[Iter]: 128 [Acc@1]: 11.719%  [Acc@5]: 32.031%  [Loss]: 3.84940.
*[Iter]: 129 [Acc@1]: 4.688%  [Acc@5]: 31.250%  [Loss]: 3.84518.
*[Iter]: 130 [Acc@1]: 9.375%  [Acc@5]: 31.250%  [Loss]: 3.89349.
*[Iter]: 131 [Acc@1]: 12.500%  [Acc@5]: 31.250%  [Loss]: 3.87246.
*[Iter]: 132 [Acc@1]: 8.594%  [Acc@5]: 35.156%  [Loss]: 3.80633.
